CustomerID,observation_date,window_month_year,recency_days,frequency,monetary,return_rate,customer_age_days,avg_items_per_transaction,unique_products,avg_order_value,churn,future_monetary_90d
12647,2010-06-01,2010-06,10,12,7124.46,0.3333333333333333,127,217.75,150,593.705,0,3254.15
12648,2010-06-01,2010-06,83,2,311.8,0.0,60,84.5,16,155.9,1,0.0
12649,2010-06-01,2010-06,26,3,781.8,0.25,112,145.33333333333334,37,260.59999999999997,1,0.0
12656,2010-06-01,2010-06,5,1,945.0,0.0,0,355.0,52,945.0,0,535.25
12662,2010-06-01,2010-06,13,3,949.61,0.0,47,153.33333333333334,39,316.5366666666667,0,939.64
12663,2010-06-01,2010-06,67,2,239.4,0.3333333333333333,43,90.5,9,119.7,1,0.0
12664,2010-06-01,2010-06,169,1,549.08,0.0,0,134.0,4,549.08,0,639.08
12665,2010-06-01,2010-06,112,1,168.8,0.5,0,75.0,8,168.8,1,0.0
12668,2010-06-01,2010-06,10,4,4502.35,0.0,109,541.25,187,1125.5875,1,0.0
12670,2010-06-01,2010-06,109,1,225.60000000000002,0.0,0,49.0,8,225.60000000000002,1,0.0
12671,2010-06-01,2010-06,49,1,2622.481,0.0,0,1460.0,45,2622.481,1,0.0
12672,2010-06-01,2010-06,38,1,211.15,0.5,0,60.0,12,211.15,1,0.0
12675,2010-06-01,2010-06,21,1,945.75,0.6666666666666666,0,336.0,111,945.75,0,12.75
12677,2010-06-01,2010-06,109,1,190.7,0.5,0,75.0,9,190.7,0,204.4
12678,2010-06-01,2010-06,25,3,8874.67,0.0,118,2148.6666666666665,100,2958.2233333333334,0,2646.84
12681,2010-06-01,2010-06,5,11,6438.17,0.15384615384615385,164,340.72727272727275,165,585.2881818181818,0,2633.05
12682,2010-06-01,2010-06,25,10,5751.5,0.0,156,231.8,111,575.15,0,2200.33
12683,2010-06-01,2010-06,18,4,2290.08,0.0,150,380.5,88,572.52,1,0.0
12692,2010-06-01,2010-06,80,1,110.95,0.0,0,36.0,13,110.95,1,0.0
12695,2010-06-01,2010-06,33,2,743.36,0.0,75,110.0,27,371.68,0,81.66
12698,2010-06-01,2010-06,33,1,339.75,0.0,0,111.0,16,339.75,1,0.0
12701,2010-06-01,2010-06,76,1,547.3199999999999,0.0,0,363.0,35,547.3199999999999,0,1101.38
12703,2010-06-01,2010-06,76,3,722.98,0.4,51,143.66666666666666,44,240.99333333333334,1,0.0
12708,2010-06-01,2010-06,31,5,1425.78,0.16666666666666666,133,132.8,61,285.156,0,330.5
12709,2010-06-01,2010-06,25,10,11866.82,0.3333333333333333,147,481.1,130,1186.682,0,5237.04
12711,2010-06-01,2010-06,54,2,1339.05,0.0,65,385.0,56,669.525,1,0.0
12712,2010-06-01,2010-06,11,4,1102.75,0.42857142857142855,162,173.25,63,275.6875,0,536.5600000000001
12714,2010-06-01,2010-06,33,4,5077.82,0.0,145,788.75,207,1269.455,0,806.0600000000001
12717,2010-06-01,2010-06,33,1,277.93,0.0,0,94.0,16,277.93,1,0.0
12725,2010-06-01,2010-06,14,2,1228.95,0.0,13,353.0,48,614.475,1,0.0
12726,2010-06-01,2010-06,67,1,381.36,0.0,0,362.0,10,381.36,0,155.51999999999998
12727,2010-06-01,2010-06,97,1,759.32,0.0,0,337.0,30,759.32,0,534.4300000000001
12731,2010-06-01,2010-06,15,2,2835.54,0.0,75,627.0,38,1417.77,0,1948.76
12733,2010-06-01,2010-06,132,1,1130.22,0.0,0,391.0,65,1130.22,0,508.1
12742,2010-06-01,2010-06,68,1,1201.52,0.5,0,1359.0,67,1201.52,1,0.0
12744,2010-06-01,2010-06,34,1,1252.95,0.0,0,509.0,36,1252.95,1,0.0
12745,2010-06-01,2010-06,17,2,658.48,0.0,108,134.5,11,329.24,0,266.93
12747,2010-06-01,2010-06,4,8,1983.54,0.3333333333333333,170,63.375,46,247.9425,0,1295.93
12748,2010-06-01,2010-06,5,43,6895.83,0.10416666666666667,172,83.97674418604652,555,160.3681395348837,0,4548.37
12755,2010-06-01,2010-06,77,3,147.41,0.5714285714285714,58,22.666666666666668,20,49.13666666666666,0,1253.3
12758,2010-06-01,2010-06,32,3,4425.59,0.25,148,869.0,118,1475.1966666666667,0,1590.1100000000001
12759,2010-06-01,2010-06,7,2,1703.68,0.0,170,509.0,90,851.84,0,496.45
12765,2010-06-01,2010-06,29,3,528.3,0.0,55,107.33333333333333,23,176.1,0,876.28
12773,2010-06-01,2010-06,7,1,124.25,0.5,0,109.0,6,124.25,1,0.0
12776,2010-06-01,2010-06,110,1,55.5,0.0,0,46.0,4,55.5,1,0.0
12778,2010-06-01,2010-06,45,1,378.59999999999997,0.0,0,366.0,27,378.59999999999997,1,0.0
12779,2010-06-01,2010-06,91,2,690.68,0.0,88,230.0,35,345.34,0,1083.6
12780,2010-06-01,2010-06,41,1,337.4,0.0,0,285.0,20,337.4,1,0.0
12785,2010-06-01,2010-06,174,1,366.9,0.5,0,172.0,19,366.9,0,421.55
12786,2010-06-01,2010-06,52,1,728.5,0.0,0,324.0,18,728.5,1,0.0
12789,2010-06-01,2010-06,136,1,89.25,0.0,0,16.0,2,89.25,0,92.25
12791,2010-06-01,2010-06,43,4,555.11,0.3333333333333333,23,51.75,16,138.7775,1,0.0
12796,2010-06-01,2010-06,71,1,381.0,0.0,0,182.0,7,381.0,1,0.0
12800,2010-06-01,2010-06,119,2,403.33,0.0,0,99.5,24,201.665,0,180.92
12802,2010-06-01,2010-06,6,1,774.25,0.0,0,535.0,50,774.25,0,830.18
12805,2010-06-01,2010-06,48,2,520.2,0.0,69,95.0,20,260.1,0,471.15
12806,2010-06-01,2010-06,15,2,2843.96,0.0,16,1042.5,57,1421.98,0,20.0
12809,2010-06-01,2010-06,8,2,1266.63,0.6,81,149.0,52,633.315,1,0.0
12810,2010-06-01,2010-06,119,1,159.66,0.0,0,98.0,10,159.66,0,375.33
12813,2010-06-01,2010-06,21,2,1065.8,0.0,114,364.0,15,532.9,0,622.0
12820,2010-06-01,2010-06,6,4,1083.3,0.3333333333333333,170,217.25,62,270.825,0,207.33
12821,2010-06-01,2010-06,54,1,128.07999999999998,0.0,0,92.0,7,128.07999999999998,1,0.0
12823,2010-06-01,2010-06,12,5,1559.5,0.0,109,50.0,1,311.9,0,889.0
12825,2010-06-01,2010-06,84,1,214.82999999999998,0.0,0,55.0,10,214.82999999999998,0,303.8
12826,2010-06-01,2010-06,164,1,458.2,0.5,0,268.0,8,458.2,0,608.53
12835,2010-06-01,2010-06,3,28,4512.5,0.125,175,59.785714285714285,128,161.16071428571428,0,1202.0
12836,2010-06-01,2010-06,41,5,1862.31,0.16666666666666666,140,100.4,100,372.462,0,937.45
12837,2010-06-01,2010-06,12,1,554.31,0.0,0,185.0,73,554.31,1,0.0
12838,2010-06-01,2010-06,19,2,322.3,0.3333333333333333,16,79.0,18,161.15,0,217.54
12839,2010-06-01,2010-06,21,7,2161.98,0.3,154,207.57142857142858,85,308.8542857142857,0,824.68
12840,2010-06-01,2010-06,117,1,150.0,0.6666666666666666,0,104.0,11,150.0,0,491.69
12842,2010-06-01,2010-06,180,1,397.20000000000005,0.0,0,168.0,3,397.20000000000005,1,0.0
12843,2010-06-01,2010-06,5,8,2029.49,0.1111111111111111,164,124.375,53,253.68625,0,2090.89
12844,2010-06-01,2010-06,36,1,123.03,0.0,0,37.0,21,123.03,1,0.0
12846,2010-06-01,2010-06,125,1,15.58,0.0,0,1.0,1,15.58,1,0.0
12848,2010-06-01,2010-06,118,1,208.0,0.0,0,58.0,16,208.0,1,0.0
12849,2010-06-01,2010-06,34,1,472.29,0.0,0,201.0,27,472.29,1,0.0
12853,2010-06-01,2010-06,115,1,413.0,0.0,0,292.0,21,413.0,0,940.0
12854,2010-06-01,2010-06,4,4,1669.52,0.3333333333333333,167,252.0,120,417.38,1,0.0
12857,2010-06-01,2010-06,32,2,644.65,0.3333333333333333,94,130.5,22,322.325,0,829.35
12860,2010-06-01,2010-06,136,1,55.47,0.0,0,27.0,16,55.47,1,0.0
12861,2010-06-01,2010-06,62,1,68.25,0.0,0,27.0,4,68.25,1,0.0
12863,2010-06-01,2010-06,18,2,943.45,0.0,13,145.5,22,471.725,0,743.5
12867,2010-06-01,2010-06,21,3,1638.77,0.0,145,490.3333333333333,160,546.2566666666667,0,606.26
12869,2010-06-01,2010-06,124,1,337.66999999999996,0.0,0,144.0,35,337.66999999999996,1,0.0
12870,2010-06-01,2010-06,67,1,209.3,0.0,0,154.0,16,209.3,0,282.70000000000005
12872,2010-06-01,2010-06,24,5,1600.2,0.16666666666666666,154,168.0,132,320.04,0,410.71000000000004
12873,2010-06-01,2010-06,124,1,492.4,0.0,0,248.0,14,492.4,1,0.0
12875,2010-06-01,2010-06,45,2,659.5200000000001,0.0,95,1008.0,2,329.76000000000005,0,354.24
12876,2010-06-01,2010-06,33,1,885.5400000000001,0.5,0,412.0,32,885.5400000000001,1,0.0
12877,2010-06-01,2010-06,36,2,481.94,0.0,97,167.0,35,240.97,0,406.39
12880,2010-06-01,2010-06,17,1,337.18,0.0,0,142.0,21,337.18,1,0.0
12891,2010-06-01,2010-06,18,3,157.5,0.0,83,125.0,1,52.5,0,284.0
12894,2010-06-01,2010-06,18,1,157.35,0.0,0,33.0,21,157.35,1,0.0
12898,2010-06-01,2010-06,102,1,158.32,0.0,0,96.0,26,158.32,1,0.0
12905,2010-06-01,2010-06,19,2,1018.42,0.3333333333333333,105,266.0,52,509.21,1,0.0
12908,2010-06-01,2010-06,73,1,318.0,0.0,0,600.0,1,318.0,0,318.0
12909,2010-06-01,2010-06,7,2,586.61,0.3333333333333333,89,233.5,34,293.305,1,0.0
12910,2010-06-01,2010-06,64,1,1017.96,0.0,0,796.0,24,1017.96,0,321.42
12913,2010-06-01,2010-06,13,5,1903.74,0.0,168,172.8,19,380.748,1,0.0
12915,2010-06-01,2010-06,32,1,206.3,0.75,0,103.0,13,206.3,0,405.15
12916,2010-06-01,2010-06,50,2,1155.62,0.0,76,251.0,47,577.81,1,0.0
12917,2010-06-01,2010-06,21,2,2102.0,0.3333333333333333,151,246.0,29,1051.0,0,984.2
12918,2010-06-01,2010-06,69,1,10953.5,0.6666666666666666,0,1.0,1,10953.5,1,0.0
12920,2010-06-01,2010-06,14,3,323.86,0.0,153,97.33333333333333,32,107.95333333333333,1,0.0
12921,2010-06-01,2010-06,7,14,8580.86,0.4166666666666667,173,408.92857142857144,117,612.9185714285715,0,2776.3
12923,2010-06-01,2010-06,18,1,426.2,0.0,0,112.0,17,426.2,1,0.0
12924,2010-06-01,2010-06,5,5,1147.99,0.0,168,134.4,25,229.598,1,0.0
12925,2010-06-01,2010-06,35,1,35.28,0.0,0,108.0,5,35.28,1,0.0
12926,2010-06-01,2010-06,90,2,612.4,0.0,78,136.5,99,306.2,1,0.0
12931,2010-06-01,2010-06,13,23,19429.76,0.20689655172413793,168,572.3478260869565,20,844.7721739130434,0,4802.92
12932,2010-06-01,2010-06,29,5,825.71,0.0,81,138.0,49,165.142,0,872.85
12933,2010-06-01,2010-06,172,1,155.79,0.5,0,67.0,27,155.79,1,0.0
12934,2010-06-01,2010-06,179,1,181.65,0.0,0,31.0,2,181.65,1,0.0
12935,2010-06-01,2010-06,20,4,831.65,0.2,29,139.5,40,207.9125,0,655.6800000000001
12937,2010-06-01,2010-06,165,2,314.57,0.0,13,109.5,27,157.285,0,915.92
12939,2010-06-01,2010-06,33,3,1372.5,0.0,105,250.0,3,457.5,0,4294.62
12941,2010-06-01,2010-06,167,1,377.49,0.0,0,381.0,27,377.49,1,0.0
12943,2010-06-01,2010-06,1,2,496.5,0.0,47,111.0,22,248.25,1,0.0
12945,2010-06-01,2010-06,99,1,437.16,0.0,0,281.0,28,437.16,1,0.0
12948,2010-06-01,2010-06,173,2,252.48,0.0,6,112.0,7,126.24,1,0.0
12949,2010-06-01,2010-06,42,8,5276.51,0.2,136,371.625,153,659.56375,0,2180.1
12951,2010-06-01,2010-06,21,4,705.6,0.2,119,75.25,35,176.4,0,405.3
12954,2010-06-01,2010-06,81,1,162.45,0.0,0,83.0,10,162.45,1,0.0
12956,2010-06-01,2010-06,127,3,413.82,0.0,39,102.0,23,137.94,1,0.0
12957,2010-06-01,2010-06,48,3,3437.3,0.5714285714285714,123,513.3333333333334,161,1145.7666666666667,0,1252.13
12958,2010-06-01,2010-06,26,1,166.89,0.0,0,39.0,12,166.89,1,0.0
12960,2010-06-01,2010-06,20,2,733.57,0.0,83,353.5,33,366.785,0,412.3
12969,2010-06-01,2010-06,45,1,122.45,0.0,0,55.0,5,122.45,1,0.0
12970,2010-06-01,2010-06,178,1,260.64,0.0,0,189.0,70,260.64,1,0.0
12971,2010-06-01,2010-06,18,8,1907.25,0.1111111111111111,148,400.875,19,238.40625,0,844.4000000000001
12972,2010-06-01,2010-06,25,3,1019.04,0.4,78,247.33333333333334,61,339.68,1,0.0
12974,2010-06-01,2010-06,8,1,264.15,0.0,0,80.0,24,264.15,1,0.0
12975,2010-06-01,2010-06,176,1,441.63,0.0,0,115.0,23,441.63,0,806.5600000000001
12976,2010-06-01,2010-06,17,4,1619.02,0.0,90,343.75,71,404.755,0,393.09999999999997
12978,2010-06-01,2010-06,88,4,1946.46,0.2,84,280.0,107,486.615,1,0.0
12979,2010-06-01,2010-06,172,1,517.7,0.5,0,520.0,56,517.7,1,0.0
12980,2010-06-01,2010-06,13,5,3513.48,0.16666666666666666,166,66.4,5,702.696,0,2028.6
12982,2010-06-01,2010-06,4,3,1372.22,0.5,45,302.6666666666667,83,457.4066666666667,0,404.04
12983,2010-06-01,2010-06,41,1,490.08,0.0,0,638.0,30,490.08,1,0.0
12986,2010-06-01,2010-06,84,2,760.72,0.0,45,134.0,20,380.36,0,1023.95
12987,2010-06-01,2010-06,53,2,460.68,0.0,78,111.5,24,230.34,1,0.0
12989,2010-06-01,2010-06,31,10,3033.14,0.16666666666666666,141,140.2,11,303.31399999999996,0,1434.5
12990,2010-06-01,2010-06,62,1,117.0,0.0,0,60.0,3,117.0,0,156.0
12992,2010-06-01,2010-06,168,1,93.35,0.0,0,21.0,6,93.35,1,0.0
12993,2010-06-01,2010-06,74,2,436.45,0.0,28,121.5,23,218.225,1,0.0
12997,2010-06-01,2010-06,25,2,274.7,0.6,30,74.0,14,137.35,0,303.78000000000003
12998,2010-06-01,2010-06,53,2,604.1,0.3333333333333333,43,320.5,49,302.05,0,315.98
13000,2010-06-01,2010-06,168,1,497.65,0.5,0,169.0,31,497.65,1,0.0
13001,2010-06-01,2010-06,4,9,6918.25,0.1,174,387.8888888888889,214,768.6944444444445,0,3710.18
13004,2010-06-01,2010-06,3,10,3343.86,0.23076923076923078,164,212.6,160,334.386,0,930.34
13007,2010-06-01,2010-06,22,1,175.25,0.0,0,59.0,11,175.25,1,0.0
13008,2010-06-01,2010-06,166,1,189.31,0.75,0,75.0,11,189.31,1,0.0
13009,2010-06-01,2010-06,115,1,234.0,0.0,0,120.0,4,234.0,1,0.0
13010,2010-06-01,2010-06,91,1,177.12,0.0,0,127.0,6,177.12,1,0.0
13012,2010-06-01,2010-06,35,1,381.89000000000004,0.0,0,215.0,21,381.89000000000004,0,405.62
13013,2010-06-01,2010-06,21,6,3475.6400000000003,0.0,147,305.5,112,579.2733333333334,0,1259.1200000000001
13015,2010-06-01,2010-06,35,2,1259.85,0.0,10,509.0,75,629.925,0,637.44
13018,2010-06-01,2010-06,13,5,1464.35,0.0,77,159.4,81,292.87,1,0.0
13019,2010-06-01,2010-06,8,4,780.85,0.2,167,54.25,32,195.2125,1,0.0
13020,2010-06-01,2010-06,5,2,618.96,0.0,97,139.0,38,309.48,1,0.0
13021,2010-06-01,2010-06,36,3,962.39,0.4,141,185.66666666666666,49,320.7966666666667,0,268.28
13024,2010-06-01,2010-06,25,1,247.83,0.0,0,79.0,15,247.83,0,308.04
13025,2010-06-01,2010-06,174,1,323.39,0.0,0,241.0,13,323.39,1,0.0
13026,2010-06-01,2010-06,34,3,696.88,0.25,135,222.0,24,232.29333333333332,0,60.84
13027,2010-06-01,2010-06,6,7,4464.0,0.125,125,1577.142857142857,6,637.7142857142857,0,2959.2
13036,2010-06-01,2010-06,127,1,307.1,0.0,0,38.0,6,307.1,1,0.0
13037,2010-06-01,2010-06,34,5,1733.86,0.2857142857142857,144,205.8,101,346.772,0,828.3100000000001
13039,2010-06-01,2010-06,27,4,1010.73,0.0,138,72.5,37,252.6825,1,0.0
13041,2010-06-01,2010-06,32,1,256.16,0.0,0,116.0,10,256.16,0,350.92
13042,2010-06-01,2010-06,41,3,1556.54,0.25,133,276.6666666666667,164,518.8466666666667,1,0.0
13044,2010-06-01,2010-06,5,8,3460.85,0.2,137,215.125,244,432.60625,0,832.58
13047,2010-06-01,2010-06,7,6,3017.2200000000003,0.5,158,182.16666666666666,77,502.87000000000006,0,1541.52
13048,2010-06-01,2010-06,6,3,919.35,0.4,118,190.33333333333334,39,306.45,0,953.19
13050,2010-06-01,2010-06,36,6,2256.23,0.4,130,187.16666666666666,223,376.03833333333336,0,1522.34
