Customer ID,ultima_compra,primera_compra,Frequency,Monetary,Recency
12375,2011-11-29 10:36:00,2011-09-02 14:23:00,2,457.5,10
12376,2010-11-15 12:15:00,2010-10-18 08:42:00,2,503.15,389
12377,2011-01-28 15:45:00,2010-04-29 15:34:00,4,3426.32,314
12378,2011-08-02 10:34:00,2010-05-26 14:07:00,2,5416.32,129
12379,2011-09-19 10:09:00,2010-06-23 12:49:00,4,1620.22,81
12380,2011-11-18 11:27:00,2010-02-15 12:05:00,11,9676.300000000001,21
12381,2011-12-05 12:44:00,2011-08-12 09:57:00,5,1845.31,4
12383,2011-06-08 08:02:00,2010-12-22 14:28:00,5,1850.56,184
12384,2011-11-11 08:39:00,2011-08-10 11:23:00,2,585.27,28
12385,2010-11-25 15:14:00,2010-11-25 15:14:00,1,1938.4,378
12386,2011-01-06 12:37:00,2010-12-08 09:53:00,2,660.8,337
12387,2010-10-20 16:27:00,2010-10-20 16:27:00,1,143.94,414
12388,2011-11-24 12:30:00,2010-05-06 12:54:00,8,3901.11,15
12389,2010-11-02 11:52:00,2010-02-22 10:15:00,3,1433.33,402
12390,2011-09-21 09:33:00,2011-09-21 09:33:00,1,549.84,79
12391,2011-11-18 12:07:00,2010-02-15 10:12:00,6,2773.42,21
12392,2010-04-27 14:04:00,2010-04-27 14:04:00,1,234.75000000000003,590
12393,2011-09-28 15:41:00,2010-10-07 13:49:00,6,2399.4500000000003,71
12394,2011-10-07 08:08:00,2011-05-06 14:01:00,2,1272.48,63
12395,2011-11-20 15:21:00,2010-04-16 10:16:00,15,5067.27,18
12396,2010-02-03 13:22:00,2010-02-03 13:22:00,1,931.43,673
12397,2011-11-04 09:52:00,2011-07-27 14:21:00,2,2409.9,35
12398,2011-10-25 10:27:00,2011-10-25 10:27:00,1,1635.6599999999999,45
12399,2011-08-12 13:15:00,2010-03-05 08:45:00,7,1962.3,118
12400,2010-10-21 13:45:00,2010-10-21 13:45:00,1,205.25,413
12401,2011-02-09 13:50:00,2011-02-09 13:50:00,1,84.3,302
12402,2011-01-20 13:49:00,2010-02-07 12:41:00,6,1256.9,322
12403,2011-10-21 10:51:00,2010-07-06 11:39:00,2,1019.36,49
12404,2010-01-26 16:25:00,2010-01-26 16:25:00,1,63.24,681
12405,2011-07-14 08:52:00,2011-07-14 08:52:00,1,1710.39,148
12406,2011-11-17 19:22:00,2010-01-11 14:04:00,5,6390.36,21
12407,2011-10-21 10:11:00,2011-03-20 13:21:00,5,1708.1200000000001,49
12408,2011-11-07 12:27:00,2010-07-29 13:27:00,8,4340.7699999999995,32
12409,2011-09-22 10:38:00,2010-05-23 15:21:00,7,23419.29,78
12410,2011-02-04 10:39:00,2010-07-25 13:26:00,3,1013.71,308
12411,2010-10-26 09:25:00,2010-10-26 09:25:00,1,346.9,409
12412,2011-09-26 10:16:00,2010-06-18 13:22:00,6,2596.93,74
12413,2011-10-04 09:00:00,2010-11-02 13:26:00,4,999.45,66
12414,2011-05-06 14:51:00,2010-09-02 12:22:00,6,952.41,216
12415,2011-11-15 14:22:00,2010-06-30 08:30:00,28,144458.37,23
12416,2010-02-21 10:19:00,2010-02-21 10:19:00,1,202.56,656
12417,2011-12-06 14:52:00,2009-12-06 10:30:00,20,6816.91,2
12418,2011-08-19 11:08:00,2010-03-19 14:47:00,4,2021.2,112
12419,2010-11-19 10:04:00,2010-10-22 10:40:00,2,503.01,385
12420,2011-10-07 08:55:00,2011-10-07 08:55:00,1,600.39,63
12421,2011-11-24 09:07:00,2010-07-22 13:57:00,6,1098.6,15
12422,2011-09-05 09:48:00,2009-12-18 12:44:00,17,5231.8,95
12423,2011-12-09 10:10:00,2010-08-31 09:31:00,10,2622.39,0
12424,2011-06-30 12:06:00,2010-06-09 15:15:00,4,3340.03,162
12425,2011-09-22 17:31:00,2010-09-17 14:10:00,2,1741.41,77
12426,2011-05-29 12:26:00,2010-02-15 08:41:00,2,1345.21,194
12427,2011-11-18 08:56:00,2010-12-03 10:44:00,3,1129.3,21
12428,2011-11-14 08:22:00,2011-03-01 09:33:00,9,7956.46,25
12429,2011-11-30 17:22:00,2010-06-11 13:28:00,8,7485.91,8
12430,2011-10-27 15:09:00,2011-10-27 15:09:00,1,256.4,42
12431,2011-11-04 11:55:00,2010-01-15 09:04:00,27,10857.97,35
12432,2011-10-28 11:43:00,2011-06-20 13:27:00,5,5059.32,42
12433,2011-12-09 10:02:00,2010-08-20 09:23:00,10,20581.26,0
12434,2011-09-16 12:38:00,2010-11-23 13:38:00,3,1103.43,84
12435,2011-09-21 09:06:00,2009-12-02 13:58:00,6,13925.93,79
12436,2011-09-01 12:09:00,2011-09-01 12:09:00,1,509.01,99
12437,2011-12-08 11:35:00,2009-12-02 16:24:00,39,12683.4,1
12438,2011-11-25 13:28:00,2011-07-22 13:29:00,2,2906.85,13
12439,2010-01-26 12:11:00,2009-12-14 08:40:00,2,1158.18,682
12440,2010-09-03 13:11:00,2009-12-22 12:03:00,2,859.2,461
12441,2010-12-08 10:45:00,2010-12-08 10:45:00,1,347.1,366
12442,2011-12-06 14:22:00,2011-12-06 14:22:00,1,172.06,2
12443,2009-12-07 15:42:00,2009-12-07 15:42:00,1,485.31,731
12444,2011-11-18 13:23:00,2011-06-21 14:00:00,5,5005.46,20
12445,2011-11-17 18:43:00,2010-10-15 12:28:00,2,434.98,21
12446,2011-10-13 12:50:00,2011-10-13 12:50:00,1,1002.3100000000001,57
12447,2011-04-10 13:25:00,2011-04-10 13:25:00,1,476.49,242
12448,2011-10-26 13:46:00,2011-10-26 13:46:00,1,449.45,43
12449,2011-11-17 13:46:00,2010-09-27 09:37:00,6,4835.89,21
12450,2011-07-06 14:41:00,2010-08-22 13:11:00,5,688.2,155
12451,2011-11-29 08:40:00,2010-06-28 12:58:00,8,12669.88,10
12452,2011-11-23 10:28:00,2011-11-23 08:05:00,2,430.57,16
12453,2011-07-28 14:08:00,2011-07-28 14:08:00,1,707.09,133
12454,2011-10-14 17:13:00,2010-10-14 17:33:00,5,16679.78,55
12455,2011-09-27 15:31:00,2009-12-18 12:33:00,10,5879.95,72
12456,2011-10-26 14:41:00,2011-03-30 09:12:00,3,3181.04,43
12457,2011-10-04 13:13:00,2010-09-30 17:59:00,8,2995.91,65
12458,2011-09-29 15:25:00,2010-08-09 10:33:00,4,1777.49,70
12459,2010-04-13 14:53:00,2010-04-13 14:53:00,1,454.36,604
12460,2010-09-09 13:51:00,2010-09-09 13:51:00,1,326.65,455
12461,2011-09-06 16:57:00,2011-07-08 10:23:00,2,826.88,93
12462,2011-11-21 09:11:00,2011-02-09 14:44:00,2,1189.59,18
12463,2011-10-17 13:44:00,2011-04-12 12:47:00,4,1344.78,52
12464,2011-11-29 13:33:00,2011-02-03 13:30:00,8,1212.05,9
12465,2011-11-22 16:34:00,2011-06-23 13:37:00,2,742.1899999999999,16
12466,2010-01-26 16:26:00,2010-01-26 16:26:00,1,56.73,681
12467,2010-10-12 15:41:00,2010-10-12 15:41:00,1,132.8,422
12468,2011-06-05 11:36:00,2010-01-26 10:09:00,5,3670.74,187
12469,2010-07-05 12:40:00,2010-06-21 10:30:00,2,3070.54,522
12470,2010-01-19 11:01:00,2010-01-19 11:01:00,1,211.95,689
12471,2011-12-07 15:43:00,2009-12-07 10:41:00,79,39963.79,1
12472,2011-11-07 14:01:00,2009-12-14 10:49:00,19,17880.59,31
12473,2011-11-10 13:46:00,2011-06-01 10:15:00,5,3938.5499999999997,28
12474,2011-11-22 14:39:00,2010-02-11 09:41:00,31,12424.45,16
12475,2011-10-17 10:10:00,2010-10-26 08:49:00,2,1149.64,53
12476,2011-11-24 12:40:00,2010-07-26 09:04:00,23,14115.41,15
12477,2011-11-17 09:51:00,2010-03-26 14:01:00,9,20276.37,22
12478,2011-12-06 09:56:00,2011-12-06 09:56:00,1,680.99,3
12479,2011-11-28 13:26:00,2011-11-28 13:26:00,1,527.2,10
12480,2011-11-11 14:52:00,2010-07-20 13:21:00,7,5464.85,27
12481,2011-11-17 08:29:00,2010-04-11 13:10:00,15,12361.39,22
12482,2010-05-12 16:51:00,2010-02-24 10:24:00,29,23691.4,575
12483,2011-11-22 17:02:00,2010-01-31 13:28:00,19,5120.58,16
12484,2011-11-07 11:37:00,2010-01-27 16:41:00,12,6370.15,32
12485,2010-06-28 15:22:00,2010-06-28 15:22:00,1,708.1,528
12486,2010-10-04 12:14:00,2010-10-04 12:14:00,1,1037.28,431
12487,2009-12-09 11:36:00,2009-12-09 11:36:00,1,285.29999999999995,730
12488,2011-11-30 08:50:00,2011-09-25 10:34:00,3,1298.66,9
12489,2011-01-07 13:13:00,2011-01-07 13:13:00,1,334.93,335
12490,2011-12-04 16:07:00,2009-12-01 12:52:00,21,9823.64,4
12491,2011-11-01 12:18:00,2011-11-01 12:18:00,1,460.40000000000003,38
12492,2011-10-07 15:15:00,2010-11-01 14:58:00,3,715.21,62
12493,2011-06-27 10:17:00,2011-05-26 14:53:00,2,433.74,165
12494,2011-11-24 09:34:00,2010-05-12 13:52:00,9,1872.8700000000001,15
12495,2010-03-09 10:53:00,2010-03-09 10:53:00,1,357.4,640
12496,2010-03-29 14:06:00,2010-03-29 13:57:00,2,54.09,619
12497,2011-09-19 12:29:00,2010-03-05 09:39:00,3,6248.5,81
12498,2011-11-18 12:53:00,2011-10-13 09:30:00,3,403.70000000000005,20
12499,2010-05-28 15:12:00,2010-05-28 15:12:00,1,393.72,559
12500,2011-11-16 16:20:00,2010-02-04 15:05:00,19,5955.21,22
12501,2011-01-07 12:28:00,2011-01-07 12:28:00,1,2169.39,336
12502,2011-09-05 11:52:00,2011-02-03 10:41:00,5,3723.87,95
12503,2010-05-04 13:59:00,2010-05-04 13:59:00,1,1126.0,583
12504,2011-11-21 16:02:00,2010-04-22 10:24:00,4,779.05,17
12505,2010-10-27 09:18:00,2010-10-27 09:18:00,1,955.2,408
12506,2011-04-21 08:54:00,2011-04-21 08:54:00,1,73.5,232
12507,2011-07-28 17:09:00,2010-05-04 09:23:00,4,1844.06,133
12508,2011-11-13 15:37:00,2011-11-10 16:27:00,2,398.27,25
12509,2011-02-28 14:45:00,2011-02-28 14:45:00,1,176.5,283
12510,2011-07-20 10:15:00,2009-12-04 13:47:00,9,5178.02,142
12511,2010-10-07 10:39:00,2010-10-07 10:39:00,1,3084.02,428
12512,2011-10-04 14:55:00,2011-10-04 14:53:00,2,138.03,65
12513,2011-08-19 10:51:00,2011-08-19 10:51:00,1,612.29,112
12514,2011-03-17 16:38:00,2010-03-08 12:18:00,2,1597.76,266
12515,2010-12-21 15:43:00,2010-12-21 15:43:00,1,383.7,352
12516,2011-09-23 09:13:00,2010-04-19 14:14:00,4,2648.62,77
12517,2011-11-11 14:04:00,2011-06-02 15:13:00,5,2502.84,27
12518,2011-12-09 10:13:00,2011-08-21 13:18:00,5,2056.89,0
12519,2011-10-07 09:26:00,2010-08-20 08:21:00,2,726.54,63
12520,2011-09-21 15:23:00,2011-03-11 11:35:00,5,2634.26,78
12521,2011-07-20 10:51:00,2011-07-20 10:51:00,1,599.68,142
12522,2011-10-31 15:30:00,2011-10-19 14:41:00,2,192.72,38
12523,2011-11-20 12:55:00,2009-12-07 13:46:00,23,4372.15,18
12524,2011-11-30 15:31:00,2010-02-08 14:41:00,17,11126.11,8
12525,2010-07-29 16:08:00,2010-03-02 14:01:00,3,973.73,497
12526,2011-12-09 12:09:00,2011-09-06 14:19:00,3,1316.66,0
12527,2011-09-19 11:55:00,2010-06-28 15:37:00,5,735.51,81
12528,2011-11-30 14:40:00,2011-01-31 09:05:00,6,1933.48,8
12529,2010-06-29 13:10:00,2010-06-29 13:10:00,1,316.48,527
12530,2011-10-11 12:34:00,2010-03-07 14:37:00,9,3759.26,59
12531,2011-11-25 11:12:00,2010-01-22 14:17:00,2,1933.2,14
12532,2011-11-09 13:47:00,2011-11-09 13:47:00,1,349.83000000000004,29
12533,2010-03-22 10:56:00,2009-12-01 11:50:00,2,1367.89,627
12534,2011-08-01 10:26:00,2011-08-01 10:26:00,1,1089.18,130
12535,2011-09-09 08:48:00,2011-06-06 12:47:00,2,716.35,91
12536,2011-10-27 14:20:00,2011-10-11 14:52:00,3,12601.830000000002,42
12537,2010-10-27 08:36:00,2010-10-27 08:36:00,1,732.94,408
12538,2011-11-10 17:16:00,2010-11-26 13:02:00,2,640.45,28
12539,2011-11-17 13:30:00,2009-12-23 13:00:00,7,11214.75,21
12540,2011-11-20 11:31:00,2009-12-07 16:56:00,33,22254.49,19
12541,2011-11-10 10:40:00,2011-03-04 09:32:00,3,981.18,29
12542,2010-08-12 19:12:00,2010-03-09 16:26:00,2,481.88,483
12543,2010-09-17 15:51:00,2010-09-17 15:51:00,1,980.25,447
12544,2011-11-03 16:15:00,2011-11-03 16:15:00,1,372.7,35
12545,2011-09-25 13:39:00,2011-03-25 12:04:00,2,1000.39,74
12546,2011-10-24 12:09:00,2011-09-23 09:44:00,2,1161.5,46
12547,2011-05-26 12:38:00,2010-07-27 13:55:00,3,383.58,197
12548,2011-06-26 15:35:00,2011-06-26 15:35:00,1,95.19999999999999,165
12549,2010-05-13 12:05:00,2010-01-11 12:29:00,6,1575.68,575
12550,2011-09-21 14:35:00,2011-09-21 14:35:00,1,964.83,78
12551,2010-12-17 11:23:00,2010-12-17 11:23:00,1,168.0,357
12552,2011-11-01 10:02:00,2011-10-31 12:11:00,2,437.82,38
12553,2011-12-01 16:38:00,2010-10-12 13:35:00,12,4608.75,7
12554,2010-09-17 12:29:00,2010-09-17 12:29:00,1,468.5,448
12555,2010-01-26 16:26:00,2010-01-26 16:26:00,1,129.23,681
12556,2011-10-20 13:06:00,2011-07-11 13:35:00,2,603.71,49
12557,2011-11-23 16:59:00,2009-12-17 10:39:00,8,18716.14,15
12558,2011-12-02 10:41:00,2011-12-02 10:41:00,1,269.96,7
12559,2011-02-02 09:49:00,2011-01-24 10:12:00,2,561.71,310
12560,2011-12-04 13:54:00,2011-07-19 15:55:00,3,2134.01,4
12561,2011-02-10 11:39:00,2011-02-10 11:39:00,1,238.85,302
12562,2011-12-01 17:20:00,2010-09-30 13:13:00,9,4966.92,7
12563,2010-10-27 09:52:00,2010-10-27 09:52:00,1,249.24,408
12564,2011-03-23 14:55:00,2011-03-23 14:55:00,1,456.9,260
12565,2011-02-24 10:34:00,2011-02-24 10:34:00,1,145.92,288
12566,2011-09-14 14:30:00,2011-09-14 14:30:00,1,351.65,85
12567,2011-11-17 11:02:00,2010-02-11 10:30:00,15,13709.86,22
12568,2010-03-05 09:15:00,2010-03-05 09:15:00,1,70.0,644
12569,2011-12-07 16:24:00,2011-04-01 13:47:00,32,4124.69,1
12570,2010-01-26 17:28:00,2010-01-26 17:28:00,1,77.52,681
12571,2011-10-31 10:19:00,2011-08-10 12:35:00,2,519.61,39
12572,2011-12-01 09:20:00,2011-10-19 08:20:00,2,1020.42,8
12573,2011-04-26 15:52:00,2010-08-31 17:25:00,5,717.41,226
12574,2011-01-28 09:20:00,2011-01-28 09:20:00,1,218.45,315
12575,2010-09-08 13:09:00,2010-07-01 09:15:00,2,622.8199999999999,456
12576,2011-11-04 10:11:00,2010-07-01 13:46:00,8,2142.72,35
12577,2011-11-04 13:24:00,2009-12-03 19:31:00,8,1653.75,34
12578,2011-11-18 13:30:00,2010-09-22 11:19:00,4,4642.45,20
12579,2011-09-22 17:15:00,2011-09-22 17:15:00,1,440.42,77
12580,2011-04-07 10:24:00,2010-05-12 11:45:00,2,1052.9,246
12581,2011-10-31 08:56:00,2011-10-31 08:56:00,1,197.71,39
12582,2011-04-15 08:45:00,2010-05-11 09:55:00,4,1980.4,238
12583,2011-12-07 08:07:00,2009-12-06 11:57:00,27,14447.44,2
12584,2011-12-06 09:35:00,2011-03-04 15:15:00,9,2338.15,3
12585,2011-04-19 13:39:00,2010-12-23 12:58:00,2,2040.1,233
12586,2011-11-22 16:24:00,2009-12-16 13:15:00,4,2062.67,16
12587,2011-12-02 12:47:00,2011-12-02 12:47:00,1,144.0,7
12588,2011-10-31 15:01:00,2010-04-21 12:22:00,4,958.78,38
12589,2011-11-11 10:19:00,2010-01-19 12:26:00,8,4695.66,28
12590,2011-05-12 14:52:00,2011-05-12 14:46:00,2,9864.26,210
12591,2011-01-26 14:35:00,2010-10-27 10:42:00,3,1352.15,316
12592,2011-09-08 15:04:00,2010-07-08 14:06:00,5,2582.66,91
12593,2011-08-23 12:43:00,2011-05-05 09:29:00,3,418.09999999999997,108
12594,2011-11-02 12:20:00,2010-03-03 13:51:00,15,5090.110000000001,37
12595,2010-07-23 09:10:00,2010-07-23 09:10:00,1,299.02,504
12596,2011-10-19 13:02:00,2011-04-11 13:22:00,2,618.27,50
12597,2011-11-20 13:33:00,2011-03-16 14:00:00,4,3811.22,18
12598,2011-11-30 12:18:00,2010-03-01 09:58:00,11,4534.09,9
12599,2011-11-10 13:34:00,2010-05-11 10:42:00,13,2296.72,28
12600,2011-11-11 10:29:00,2009-12-07 13:37:00,21,5043.92,28
12601,2011-06-03 10:17:00,2010-10-31 10:57:00,6,681.26,189
12602,2011-10-12 11:22:00,2011-10-12 11:22:00,1,153.12,58
12603,2011-11-18 10:42:00,2011-11-18 10:42:00,1,739.1999999999999,21
12604,2011-09-21 14:08:00,2011-03-23 12:06:00,2,254.18,78
12605,2010-11-28 14:18:00,2010-09-07 14:21:00,4,1232.95,375
12606,2010-01-26 16:23:00,2010-01-26 16:23:00,1,21.0,681
12607,2011-10-10 16:06:00,2011-10-10 16:06:00,1,1579.51,59
12608,2010-10-31 10:49:00,2010-10-31 10:49:00,1,415.79,404
12609,2011-09-22 16:34:00,2009-12-20 13:30:00,9,3435.86,77
12610,2011-11-17 09:34:00,2011-08-05 13:52:00,5,2099.54,22
12611,2011-10-18 13:12:00,2011-10-18 13:12:00,1,1193.32,51
12612,2011-09-26 15:35:00,2011-09-26 15:35:00,1,704.0400000000001,73
12613,2011-10-13 14:59:00,2009-12-14 13:10:00,10,6835.07,56
12614,2011-03-07 10:22:00,2011-03-07 10:22:00,1,315.6,277
12615,2011-12-07 15:02:00,2010-03-18 14:09:00,8,5740.98,1
12616,2011-09-05 15:17:00,2010-11-16 11:38:00,3,1131.1,94
12617,2011-11-10 14:39:00,2011-11-10 14:39:00,1,355.53,28
12618,2011-11-18 11:10:00,2011-11-18 11:10:00,1,177.31,21
12619,2011-11-23 14:52:00,2010-05-28 12:52:00,10,3781.38,15
12620,2011-11-25 10:20:00,2011-05-19 12:10:00,3,1339.41,14
12621,2011-12-08 11:25:00,2010-02-09 12:01:00,35,24775.81,1
12622,2011-04-21 16:39:00,2011-04-21 16:39:00,1,180.1,231
12623,2011-03-08 13:50:00,2010-01-12 11:45:00,7,3747.84,275
12624,2011-08-25 15:04:00,2011-06-15 12:34:00,2,641.13,105
12625,2011-05-12 09:54:00,2010-04-22 11:33:00,4,5164.88,211
12626,2011-11-16 16:06:00,2011-01-17 11:01:00,9,6620.48,22
12627,2011-11-29 12:07:00,2011-07-22 13:59:00,7,4478.53,10
12628,2011-12-05 13:15:00,2011-10-06 09:28:00,3,786.46,3
12629,2010-11-19 09:18:00,2010-10-12 16:40:00,2,1558.22,385
12630,2011-11-30 10:48:00,2011-10-27 10:41:00,2,1270.88,9
12631,2011-10-13 13:53:00,2010-01-15 14:50:00,6,3481.57,56
12632,2010-07-07 09:39:00,2010-05-24 09:07:00,2,804.88,520
12633,2011-10-12 11:40:00,2010-07-02 11:44:00,7,5678.16,58
12634,2010-06-22 10:05:00,2010-06-09 15:41:00,2,490.0,535
12635,2011-09-11 11:04:00,2010-09-09 10:50:00,4,2930.41,89
12636,2009-12-01 09:55:00,2009-12-01 09:55:00,1,141.0,738
12637,2011-10-03 13:46:00,2010-06-14 13:36:00,12,8340.31,66
12638,2011-11-06 13:11:00,2010-03-10 10:30:00,2,921.49,32
12639,2011-04-15 12:48:00,2010-03-22 09:05:00,3,1312.37,238
12640,2011-11-16 11:52:00,2011-09-19 12:01:00,3,1174.58,23
12641,2011-08-16 13:26:00,2011-08-16 13:26:00,1,185.9,114
12642,2011-11-14 15:03:00,2011-08-24 09:23:00,3,1013.26,24
12643,2011-08-03 12:56:00,2010-04-07 14:16:00,12,8350.42,127
12644,2011-08-02 10:33:00,2010-01-14 13:02:00,4,1918.49,129
12645,2011-11-06 12:38:00,2010-02-09 10:49:00,8,3539.3,33
12646,2011-12-05 10:14:00,2011-10-21 12:52:00,2,1346.97,4
12647,2011-11-17 12:56:00,2010-01-13 15:06:00,36,17924.35,21
12648,2011-07-08 11:55:00,2010-01-07 18:38:00,4,1112.0,154
12649,2011-08-24 14:41:00,2010-01-12 17:24:00,8,2294.65,106
12650,2011-12-06 16:34:00,2011-12-06 16:34:00,1,314.44,2
12651,2011-01-09 12:46:00,2010-08-31 15:21:00,4,377.75,334
12652,2011-01-12 15:00:00,2010-10-01 15:16:00,2,1017.03,330
12653,2011-07-14 10:41:00,2010-07-01 09:56:00,3,4160.83,148
12654,2011-11-29 10:10:00,2011-02-17 13:16:00,5,601.98,10
12655,2010-10-12 09:17:00,2010-10-12 09:17:00,1,261.35,423
12656,2011-11-22 13:42:00,2010-05-26 09:00:00,8,6407.83,16
12657,2011-11-28 15:47:00,2011-09-22 11:40:00,4,1643.18,10
12658,2011-11-21 10:22:00,2011-11-21 10:22:00,1,686.05,18
12659,2011-11-10 11:53:00,2011-11-10 11:53:00,1,91.68,29
12660,2011-11-28 13:26:00,2011-11-28 13:26:00,1,245.1,10
12661,2010-09-29 16:46:00,2010-09-29 16:46:00,1,162.0,435
12662,2011-12-09 11:59:00,2010-04-01 09:50:00,20,6988.02,0
12663,2010-03-25 09:40:00,2010-02-09 14:28:00,2,239.4,624
12664,2011-12-01 17:07:00,2009-12-13 10:28:00,11,6070.04,7
12665,2011-01-19 08:34:00,2010-02-08 15:11:00,3,313.6,324
12666,2010-11-10 16:40:00,2010-11-10 16:40:00,1,1248.42,393
12667,2011-10-12 17:00:00,2011-10-12 17:00:00,1,620.13,57
12668,2011-11-28 10:56:00,2010-01-31 15:45:00,10,11444.68,11
12669,2011-07-12 09:54:00,2011-03-28 10:15:00,3,2744.0299999999997,150
12670,2011-11-29 15:23:00,2010-02-11 10:13:00,7,3760.29,9
12671,2010-04-12 16:30:00,2010-04-12 16:30:00,1,2622.481,605
12672,2011-01-14 09:20:00,2010-04-23 09:57:00,2,437.05,329
12673,2011-12-04 13:55:00,2010-11-03 10:46:00,3,1230.02,4
12674,2011-11-01 12:12:00,2011-05-16 09:10:00,4,1970.6,38
12675,2010-06-04 09:49:00,2010-05-10 16:44:00,2,958.5,553
12676,2011-11-15 12:25:00,2010-08-13 13:29:00,11,2843.09,24
12677,2010-06-02 14:30:00,2010-02-11 13:55:00,2,395.1,554
12678,2011-10-28 13:04:00,2010-01-07 16:46:00,21,34281.18,41
12679,2011-10-12 12:30:00,2011-03-01 12:26:00,4,1113.02,58
12680,2011-12-09 12:50:00,2011-08-18 15:44:00,4,880.81,0
12681,2011-11-25 11:33:00,2009-12-13 13:31:00,45,30868.28,14
12682,2011-12-06 10:00:00,2009-12-01 09:28:00,52,24033.91,3
12683,2011-12-05 16:31:00,2009-12-13 15:01:00,21,12696.78,3
12684,2011-12-02 09:53:00,2011-05-10 12:55:00,7,2283.63,7
12685,2011-11-11 13:46:00,2011-09-07 10:28:00,6,2863.08,27
12686,2010-12-03 09:51:00,2010-12-03 09:51:00,1,178.28,371
12687,2010-08-16 12:12:00,2010-08-16 12:10:00,2,2138.91,480
12688,2011-08-18 08:49:00,2011-08-18 08:49:00,1,4873.8099999999995,113
12689,2011-11-14 08:31:00,2011-08-04 10:04:00,2,1247.61,25
12690,2011-05-18 09:09:00,2011-05-18 09:09:00,1,389.01,205
12691,2011-11-11 16:49:00,2010-10-15 12:00:00,7,1170.4,27
12692,2010-03-12 14:02:00,2010-03-12 14:02:00,1,110.95,636
12693,2011-08-04 17:51:00,2010-07-05 13:56:00,7,1703.02,126
12694,2011-09-30 13:06:00,2010-10-14 19:39:00,3,1843.35,69
12695,2011-12-02 13:22:00,2010-02-12 13:22:00,7,1407.1200000000001,6
12696,2010-10-01 10:43:00,2010-07-19 10:02:00,2,851.91,434
12697,2011-11-11 08:47:00,2011-06-23 15:44:00,3,957.59,28
12698,2010-04-28 15:51:00,2010-04-28 15:51:00,1,339.75,589
12699,2010-10-18 12:07:00,2010-10-18 12:07:00,1,638.11,417
12700,2011-12-02 10:47:00,2011-05-08 16:10:00,4,4939.99,7
12701,2011-09-21 10:47:00,2010-03-16 13:23:00,6,2446.41,79
12702,2011-11-20 10:36:00,2011-11-20 10:36:00,1,219.0,19
12703,2011-09-29 17:52:00,2010-01-24 12:05:00,4,1006.53,70
12704,2011-12-02 13:15:00,2011-06-23 10:20:00,8,2340.84,6
12705,2011-11-24 13:17:00,2010-06-24 09:51:00,14,11762.1,14
12707,2011-02-21 08:38:00,2011-02-21 08:38:00,1,603.42,291
12708,2011-11-10 09:52:00,2009-12-18 10:25:00,18,5314.1,29
12709,2011-11-24 15:38:00,2009-12-09 13:49:00,34,31093.34,14
12710,2011-09-04 12:00:00,2011-05-22 14:05:00,3,1149.02,96
12711,2010-04-07 11:59:00,2010-02-01 11:30:00,2,1339.05,611
12712,2011-11-11 08:19:00,2009-12-09 10:46:00,21,7193.66,28
12713,2011-12-09 12:16:00,2011-12-09 12:16:00,1,848.55,0
12714,2011-11-30 15:43:00,2009-12-04 10:00:00,12,14093.71,8
12715,2011-08-25 15:22:00,2011-08-25 15:22:00,1,353.86,105
